Date : 2022-04-28 02:13:50
Directory : e:\Teamanager-vue\teamanager-vue\src
Total : 91 files,  13682 codes, 648 comments, 412 blanks, all 14742 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\Teamanager-vue\teamanager-vue\src\components\team\task\CreateSubTaskPage.vue                 | Vue        |        137 |          1 |          4 |        142 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\task\CreateTaskPage.vue                    | Vue        |        293 |         10 |          7 |        310 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\task\JoinTask.vue                          | Vue        |         76 |          0 |          4 |         80 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\task\StoryPointBox.vue                     | Vue        |         56 |          1 |          6 |         63 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\task\SubTask.vue                           | Vue        |        194 |          8 |          5 |        207 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\task\SubTaskCalendar.vue                   | Vue        |         33 |          0 |          4 |         37 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\task\TaskCard.vue                          | Vue        |        219 |          8 |          6 |        233 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\task\TaskPage.vue                          | Vue        |        165 |         14 |          5 |        184 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\vote\VoteCard.vue                          | Vue        |        137 |          0 |          3 |        140 |
| e:\Teamanager-vue\teamanager-vue\src\components\team\vote\VotePage.vue                          | Vue        |        294 |          8 |          5 |        307 |
| e:\Teamanager-vue\teamanager-vue\src\components\toolbar\ModuleToolbar.vue                       | Vue        |        148 |         13 |          5 |        166 |
| e:\Teamanager-vue\teamanager-vue\src\components\toolbar\StripToolbar.vue                        | Vue        |        108 |          2 |          3 |        113 |
| e:\Teamanager-vue\teamanager-vue\src\components\toolbar\ToolBarButton.vue                       | Vue        |         27 |          0 |          3 |         30 |
| e:\Teamanager-vue\teamanager-vue\src\components\toolbar\ToolbarIcon.vue                         | Vue        |         40 |          0 |          4 |         44 |
| e:\Teamanager-vue\teamanager-vue\src\components\toolbar\UserIcon.vue                            | Vue        |         18 |          0 |          3 |         21 |
| e:\Teamanager-vue\teamanager-vue\src\composables\setupTest.js                                   | JavaScript |         26 |          8 |         11 |         45 |
| e:\Teamanager-vue\teamanager-vue\src\main.js                                                    | JavaScript |         26 |          1 |          4 |         31 |
| e:\Teamanager-vue\teamanager-vue\src\router\index.js                                            | JavaScript |        132 |          3 |          4 |        139 |
| e:\Teamanager-vue\teamanager-vue\src\store\index.js                                             | JavaScript |        113 |          6 |          1 |        120 |
| e:\Teamanager-vue\teamanager-vue\src\util\all.js                                                | JavaScript |         15 |          0 |          3 |         18 |
| e:\Teamanager-vue\teamanager-vue\src\util\cookieUtil.js                                         | JavaScript |         12 |          0 |          1 |         13 |
| e:\Teamanager-vue\teamanager-vue\src\views\About.vue                                            | Vue        |        170 |          0 |         13 |        183 |
| e:\Teamanager-vue\teamanager-vue\src\views\Chat.vue                                             | Vue        |        373 |         19 |          6 |        398 |
| e:\Teamanager-vue\teamanager-vue\src\views\HelloWorld.vue                                       | Vue        |         58 |          1 |          3 |         62 |
| e:\Teamanager-vue\teamanager-vue\src\views\HomePage.vue                                         | Vue        |        186 |         14 |          8 |        208 |
| e:\Teamanager-vue\teamanager-vue\src\views\Signin.vue                                           | Vue        |        251 |          7 |          6 |        264 |
| e:\Teamanager-vue\teamanager-vue\src\views\Signup.vue                                           | Vue        |        270 |         10 |          3 |        283 |
| e:\Teamanager-vue\teamanager-vue\src\views\StudentHome.vue                                      | Vue        |         17 |          2 |          4 |         23 |
| e:\Teamanager-vue\teamanager-vue\src\views\TeacherHome.vue                                      | Vue        |         17 |          2 |          4 |         23 |
| e:\Teamanager-vue\teamanager-vue\src\views\User.vue                                             | Vue        |         15 |          0 |          3 |         18 |
| Total                                                                                           |            |     13,682 |        648 |        412 |     14,742 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
